Werk,Buchungsdatum,Menge,Mengeneinheit,Materialgruppe,Kostenstelle,Belegnum
PL-0042,20240115,450.0,L,DIESEL,CC-CORP-01,SAP-10001
PL-0042,20240118,120.5,GAL,PETROL,CC-OPS-04,SAP-10002
PL-0107,20240120,800.0,M3,NATGAS,CC-PLANT-07,SAP-10003
PL-0042,20240122,250.0,L,DIESEL,CC-CORP-01,SAP-10004
PL-0107,20240125,180.0,KG,DIESEL,CC-PLANT-07,SAP-10005
PL-0042,20240127,150.0,L,PETROL,CC-OPS-04,SAP-10006
PL-0107,20240129,220.0,L,DIESEL,CC-OPS-04,SAP-10007
PL-0042,20240201,310.0,L,DIESEL,CC-CORP-01,SAP-10008
PL-0107,20240203,640.0,M3,NATGAS,CC-PLANT-07,SAP-10009
PL-0042,20240205,115.0,GAL,PETROL,CC-OPS-04,SAP-10010
PL-0042,20240208,450.0,L,DIESEL,CC-CORP-01,SAP-10001
PL-0107,20240212,95.0,LBS,NATGAS,CC-PLANT-07,SAP-10012
PL-0042,20240215,8500.0,L,DIESEL,CC-CORP-01,SAP-10013
PL-0107,20240218,290.0,KG,DIESEL,CC-PLANT-07,SAP-10014
PL-0042,20240222,175.0,L,PETROL,CC-OPS-04,SAP-10015
